Sample,Taxa,relabs,Metabollic group,Notes,Source
10_17ROV19_HD25 phyloFlash,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales,0.2079469642932069,SRB ,"Thermophillic, Sulphate reducing bacteria","Hatchikian, Olviier and Garcia"
10_17ROV19_HD25 phyloFlash,Archaea;Halobacterota;ANME-1;uncultured archaeon,0.09216212814165232,AMO,Could be sulphate or nitrate reduciton coupled(1). Often occurs in the sulphate/methane transition zone (2),"1) McGlynn, Energy Metabolism during Anaerobic Methane Oxidation in ANME Archaea, 2017 https://dx.doi.org/10.1264%2Fjsme2.ME16166
2) Kevorkian et al.,  ANME-1 archaea drive methane accumulation and removal in estuarine sediments, 2020 (BIOARXIV)
 https://doi.org/10.1101/2020.02.24.963215"
10_17ROV19_HD25 phyloFlash,Bacteria;(Bacteria);(Bacteria);(Bacteria),0.06415474342298494,Other,,
10_17ROV19_HD25 phyloFlash,Archaea;Halobacterota;Archaeoglobi;Archaeoglobales,0.04967901648974112,SRB ,Hyperthermophile,1) Brock p 551
10_17ROV19_HD25 phyloFlash,Bacteria;Desulfobacterota;Desulfofervidia;Desulfofervidales,0.04928040951621701,SRB ,Hypothesised to grow allongside ANME ,"Krukenberg et al., Candidatus Desulfofervidus auxilii, a hydrogenotrophic sulfate-reducing bacterium involved in the thermophilic anaerobic oxidation of methane, 2016,
https://doi.org/10.1111/1462-2920.13283"
10_17ROV19_HD25 phyloFlash,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,0.0314270129652163,SHO (?),Generally sulphide oxidising and are often observed in anoxic-oxic transition zones. Maybe do KEGG analysis of campylobacterales bins? Difference between Loke/FOV metabolisms?,1)Brock p. 514
10_17ROV19_HD25 phyloFlash,Bacteria;Chloroflexi;Anaerolineae;SBR1031,0.0284269710065875,Fermentative,"Is hypothesised to be anaerobic fermentative, but some suggest it could be innvolved in syntrophic methanogensis","1) Xia et al., Cellular adhesiveness and cellulolytic capacity in Anaerolineae revealed by omics-based genome interpretation, 2016; 
https://doi.org/10.1186/s13068-016-0524-z"
10_17ROV19_HD25 phyloFlash,Bacteria;Calditrichota;Calditrichia;Calditrichales,0.02431502538497042,Fermentative (?),debated taxonomical assignment. The exact metabolism remains unknown and is suspected to be either fermentative or nitrate reducing with either H2 or acetate as electron source,"1) Kublanov et al., Genomic analysis of Caldithrix abyssi, the thermophilic anaerobic bacterium of the novel bacterial phylum Calditrichaeota, 2017
https://doi.org/10.3389/fmicb.2017.00195"
10_17ROV19_HD25 phyloFlash,Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales,0.02276255611966601,SRB ,,"1) Brock p 473
"
10_17ROV19_HD25 phyloFlash,Archaea;Halobacterota;ANME-1;(ANME-1),0.01787437586539672,AMO,Could be sulphate or nitrate reduciton coupled(1). Often occurs in the sulphate/methane transition zone (2),"1) McGlynn, Energy Metabolism during Anaerobic Methane Oxidation in ANME Archaea, 2017 https://dx.doi.org/10.1264%2Fjsme2.ME16166
2) Kevorkian et al.,  ANME-1 archaea drive methane accumulation and removal in estuarine sediments, 2020 (BIOARXIV)
 https://doi.org/10.1101/2020.02.24.963215"
10_17ROV19_HD25 phyloFlash,Bacteria;Acetothermia;Acetothermiia;uncultured bacterium,0.0178114379222087,Fermentative,Unusual cell morphology hypothesised to increase nutrient upptake,"Hao et al., Novel prosthecate bacteria from the candidate phylum Acetothermia, 2018
https://doi.org/10.1038/s41396-018-0187-9"
10_17ROV19_HD25 phyloFlash,Archaea;Thermoplasmatota;Thermoplasmata;JdFR-43,0.01644778248646834,Unknown,Very interesting! Recently propsed that some Thermoplasmata should be considered a clade based on ability to assimilate carbon via formaldehyde and acetate assimilation. If I find bins I could run KEGG. Generally assumed to be mixotrophic,"Hu et al., Metagenomic insights into the metabolism and evolution of a new Thermoplasmata order (Candidatus Gimiplasmatales), 2020
https://doi.org/10.1111/1462-2920.15349"
10_17ROV19_HD25 phyloFlash,Archaea;(Archaea);(Archaea);(Archaea),0.01558763059623212,Other,,
10_17ROV19_HD25 phyloFlash,Bacteria;Hydrothermae;(Hydrothermae);(Hydrothermae),0.01506314773633198,Unknown,Unknown metabolism and so far has only been reported in deep subsurface,"1) Jungbluth et al., Metagenome sequencing and 98 microbial genomes from Juan de Fuca Ridge flank subsurface fluids, 2017
https://doi.org/10.1038/sdata.2017.37
 "
10_17ROV19_HD25 phyloFlash,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,0.01286031972475139,Fermentative / heterotroph,"Supposedly an anerobic transitor, acting as the intermediary between aerobes (by eating them or their byproducts) and providing H2 and acetate syntrophically to Anaerobes)","1) Liu et al., Insights into the ecology, evolution, and metabolism of the widespread Woesearchaeotal lineages, 2018
https://doi.org/10.1186/s40168-018-0488-2
"
10_17ROV19_HD25 phyloFlash,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales,0.01237779549364327,SRB ,Strick anaerobe So reducers ,Brock 559
10_17ROV19_HD25 phyloFlash,Bacteria;Patescibacteria;ABY1;Candidatus Falkowbacteria,0.01153862291780305,SRB (?),Assumed symbiont with although some sulphate reducing capacities have been discovered,"Anantharaman, Expanded diversity of microbial groups that shape the dissimilatory sulfur cycle,  2018, 
https://doi.org/10.1038/s41396-018-0078-0"
1_17ROV17_BS2 phyloFlash,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,0.5338556098544007,SHO (?),Generally sulphide oxidising and are often observed in anoxic-oxic transition zones. Maybe do KEGG analysis of campylobacterales bins? Difference between Loke/FOV metabolisms?,1)Brock p. 514
1_17ROV17_BS2 phyloFlash,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,0.1095773086805381,MO,"Type I methanotrophs, (1) dominent where methane is limiting and copper/nitrate levels are high. Can be both mesophilic to thermophilic (2)","1) Hanson & Hanson, Methanotrophic bacteria, 1996

2) Orata et al., Phylogenomic Analysis of the Gammaproteobacterial Methanotrophs (Order Methylococcales) Calls for the Reclassification of Members at the Genus and Species Levels, 2018
https://doi.org/10.3389/fmicb.2018.03162"
1_17ROV17_BS2 phyloFlash,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,0.05310091188472971,Chemoorganotroph,"Meso to psycrophillic, generally chemoorganotrophs",Brock p 529-530
1_17ROV17_BS2 phyloFlash,Bacteria;(Bacteria);(Bacteria);(Bacteria),0.04713083782558315,Other,,
1_17ROV17_BS2 phyloFlash,Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales,0.04594689908811527,AO,Mesophillic,Brock 479
1_17ROV17_BS2 phyloFlash,Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),0.02763363393621845,,Too diverse to draw any conclusion,
1_17ROV17_BS2 phyloFlash,Eukaryota;Amorphea;Obazoa;Opisthokonta,0.0247115723714041,,Too diverse to draw any conclusion,
1_17ROV17_BS2 phyloFlash,Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22,0.02181470099249332,,Likely symbionts that survive on fatty acid degredation,"Sieber et al., Unusual Metabolism and Hypervariation in the Genome of a Gracilibacterium (BD1-5) from an Oil-Degrading Community, 2019
https://dx.doi.org/10.1128%2FmBio.02128-19"
1_17ROV17_BS2 phyloFlash,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,0.01624766990780392,Chemoorganotroph,"generally aerobic, diverse group of chemoorganotrophs, similar to flavobacteriales but more diverse in their metabolic targets",Brock 530
1_17ROV17_BS2 phyloFlash,Eukaryota;SAR;Alveolata;Ciliophora,0.01408131392009673,Chemoorganotroph,"Heterotrophic, multi nucleated euakaryotes, named for their primary mode of movement and food collection; the cillia",Lynn p 2 
1_17ROV17_BS2 phyloFlash,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,0.01156229532973953,,Too diverse to draw any conclusion,Brock p 509
